date,Hyle Alpha I,Sleeve A (standalone),Sleeve B (standalone),SPY
2021-08-09,1.0,1.0,1.0,1.090574973483635
2021-08-10,1.0,1.0,1.0,1.0919316247749202
2021-08-11,1.0,1.0,1.0,1.0946449273574907
2021-08-12,1.0,1.0,1.0,1.0979255568436899
2021-08-13,0.99924975,0.9985017481269355,1.0,1.0999235341999465
2021-08-16,0.9951468809255442,0.990303424449964,1.0,1.1025135048469459
2021-08-17,0.9883043930884016,0.9767138647678671,1.0,1.095286253422462
2021-08-18,0.9862783441780504,0.972708742405322,1.0,1.0832983892849224
2021-08-19,0.982360328240073,0.9649846875570458,1.0,1.0849757036086933
2021-08-20,0.9833835409781219,0.967138005327905,1.0,1.0936089390986912
2021-08-23,0.9876046884280081,0.9751506453636769,1.0,1.1032288300732602
2021-08-24,0.9937501890872339,0.9873125442736456,1.0,1.1049801435583742
2021-08-25,0.9965265272774066,0.9928237978905847,1.0,1.1072987839471164
2021-08-26,0.993129523286593,0.9860607356464648,1.0,1.1007621913618322
2021-08-27,1.000307480089661,1.0002186786707337,1.0,1.1106040798204295
2021-08-30,0.9980215890725985,0.9956646039267639,1.0,1.115488024469057
2021-08-31,0.9984169847582243,0.9964470879618924,1.0,1.1138353765324003
2021-09-01,1.0046081501937265,1.0088109899243438,1.0,1.114427369823143
2021-09-02,1.0025714633842888,1.004760212830115,1.0,1.117855997632028
2021-09-03,1.0067249404564456,1.0130729698015117,1.0,1.1175846673737708
2021-09-07,1.0069234615152325,1.0134801345271134,1.0,1.1135887126612576
2021-09-08,1.000920487277116,1.0014046691131528,1.0,1.1122320613699723
2021-09-09,0.9972109018353886,0.994249190998444,1.0,1.1074714486569164
2021-09-10,0.9997649743053373,0.999255913187133,1.0,1.0987395476184614
2021-09-13,1.0051632447099446,1.0100509725987064,1.0,1.101551515749489
2021-09-14,1.0050219551610653,1.0096842928102499,1.0,1.0956069164549478
2021-09-15,1.0066003023432157,1.0128571794807977,1.0,1.1047581460743454
2021-09-16,1.00484237476778,1.0093834139596505,1.0,1.1030068325892317
2021-09-17,0.9971236551910365,0.993920096127989,1.0,1.0887743272242925
